Apellidos,Total
ABAD,18453
ABARCA,3750
ABRIGO,1456
ABRIL,6667
ACAN,2133
ACARO,3990
ACEBO,1505
ACERO,3503
ACEVEDO,2410
ACHIG,2000
ACOSTA,40793
ACURIO,4546
ACUÑA,5388
ADRIAN,2471
AGILA,4424
AGREDA,1877
AGUAGALLO,1996
AGUAIZA,2007
AGUALONGO,4756
AGUALSACA,2039
AGUAS,3096
AGUAVIL,2606
AGUAYO,6914
AGUDO,1037
AGUIAR,2638
AGUILA,1235
AGUILAR,46471
AGUILERA,8208
AGUINDA,11486
AGUINSACA,1051
AGUIRRE,39175
AGURTO,2912
AIGAJE,1173
AIMACAÑA,2714
AJILA,5627
AJON,2062
ALAJO,1528
ALARCON,23481
ALAVA,32983
ALAY,6762
ALBA,3265
ALBAN,17119
ALBARRACIN,3609
ALBERCA,1146
ALBIÑO,1102
ALBUJA,4744
ALCIVAR,58985
ALCOCER,2188
ALCOSER,1424
ALDAS,5344
ALDAZ,6761
ALEGRIA,1727
ALEJANDRO,7237
ALEMAN,2241
ALENCASTRO,1027
ALFONSO,1882
ALFONZO,1004
ALLAICA,1162
ALLAICO,1155
ALLAUCA,3597
ALMACHE,3144
ALMACHI,4713
ALMAGRO,1582
ALMEIDA,31006
ALMENDARIZ,1361
ALOMOTO,3973
ALONSO,2142
ALONZO,3935
ALQUINGA,3216
ALTAMIRANO,14570
ALULEMA,3130
ALULIMA,1272
ALVARADO,102146
ALVAREZ,75562
ALVARIO,1341
ALVARO,1541
ALVARRACIN,1820
ALVEAR,8374
ALVERCA,1643
ALVIA,4788
AMADOR,1262
AMAGUA,2253
AMAGUAYA,2391
AMAGUAÑA,5424
AMAIQUEMA,1316
AMAN,1215
AMANCHA,1269
AMAY,1494
AMAYA,4560
AMBULUDI,3294
AMENDAÑO,1039
AMORES,3092
AMPUERO,1010
ANAGUANO,1307
ANALUISA,6313
ANANGONO,2545
ANASTACIO,2700
ANCHUNDIA,36485
ANDAGANA,1433
ANDAGOYA,1014
ANDALUZ,2161
ANDI,11857
ANDINO,4843
ANDRADE,77637
ANDRANGO,10651
ANDY,8412
ANGAMARCA,8344
ANGEL,2914
ANGO,1117
ANGUISACA,2077
ANGULO,29083
ANILEMA,1745
ANKUASH,3283
ANRANGO,7532
ANRRANGO,2416
ANTE,3938
ANTEPARA,1876
ANTON,1260
ANTUN,2355
ANZULES,4794
APOLINARIO,4770
APOLO,8179
APONTE,3099
APUGLLON,1330
APUNTE,1267
AQUINO,3146
ARAGON,2093
ARAGUNDI,2613
ARAMBULO,1307
ARANA,10027
ARANDA,3125
ARAQUE,1964
ARAUJO,12033
ARAUZ,4932
ARAY,1490
ARBOLEDA,10568
ARCE,10715
ARCENTALES,5207
ARCINIEGA,1532
ARCOS,10078
ARDILA,1009
ARELLANO,13828
AREQUIPA,2889
AREVALO,32347
ARGANDOÑA,1022
ARGUDO,3230
ARGUELLO,8238
ARIAS,51648
ARISTEGA,2255
ARIZAGA,2857
ARIZALA,1169
ARMAS,8124
ARMENDARIZ,2245
ARMIJO,2544
ARMIJOS,31621
AROCA,4012
ARPI,3079
ARREAGA,16513
ARRIAGA,5129
ARRIETA,1685
ARROBA,2944
ARROBO,2319
ARROYO,17421
ARTEAGA,30054
ARZUBE,1275
ASANZA,3674
ASCENCIO,1632
ASENCIO,6946
ASHANGA,1486
ASHQUI,2241
ASIMBAYA,2104
ASIPUELA,1179
ASITIMBAY,3127
ASPIAZU,4242
ASQUI,2545
ASTUDILLO,18298
ASUNCION,1506
ATARIGUANA,1143
ATI,1129
ATIENCIA,2376
ATUPAÑA,2349
AUCANCELA,3497
AUCAPIÑA,3346
AUCATOMA,3174
AUCAY,2214
AULES,2156
AULESTIA,1602
AULLA,1345
AUQUI,1842
AUQUILLA,3709
AURIA,1024
AUZ,1114
AVALOS,2876
AVEIGA,8832
AVELINO,2489
AVELLAN,2046
AVENDAÑO,2405
AVEROS,1125
AVILA,40183
AVILES,23861
AVILEZ,3923
AYALA,33675
AYAVACA,2012
AYO,1531
AYOL,1367
AYORA,2280
AYOVI,7965
AZANZA,1304
AZAS,1356
AZOGUE,5518
AZUERO,1593
AÑAPA,6400
AÑAZCO,2677
BACILIO,2144
BACUILIMA,1571
BACULIMA,1578
BADILLO,2074
BAEZ,4666
BAGUI,1204
BAHAMONDE,1088
BAIDAL,2624
BAILON,11678
BAJAÑA,27598
BALAREZO,4324
BALCAZAR,5985
BALDA,1655
BALDEON,4210
BALDERRAMO,1464
BALLA,1866
BALLADARES,5757
BALLESTEROS,2928
BALON,5828
BALSECA,7143
BANCHON,9103
BANDA,1823
BANEGAS,2446
BANGUERA,2273
BAQUE,29409
BAQUERIZO,8809
BAQUERO,3132
BARAHONA,14325
BARBA,4833
BARBECHO,2930
BARBERAN,6004
BARBOTO,1212
BARCIA,7277
BARCO,5011
BARCOS,1278
BAREN,2251
BARONA,2438
BARRAGAN,11335
BARRE,13499
BARREIRO,6570
BARRENO,4278
BARRERA,15874
BARRETO,11316
BARREZUETA,4703
BARRIGA,3899
BARRIONUEVO,5478
BARRIOS,1997
BARROS,10696
BARROSO,1911
BARZALLO,4088
BARZOLA,14477
BASANTES,7881
BASTIDAS,17278
BASURTO,17125
BATALLAS,2310
BATIOJA,2284
BAUTISTA,15546
BAYAS,8529
BAYONA,1115
BAZAN,4443
BAZURTO,12030
BAÑO,4902
BAÑOS,1509
BECERRA,8673
BEDON,3627
BEDOR,1076
BEDOYA,5362
BEJARANO,5144
BELDUMA,1723
BELLO,2166
BELTRAN,17557
BENALCAZAR,10428
BENAVIDES,26697
BENAVIDEZ,1232
BENITES,5159
BENITEZ,16592
BERMEJO,2242
BERMELLO,7449
BERMEO,25750
BERMUDEZ,11098
BERNABE,2358
BERNAL,7091
BERNITA,1809
BERREZUETA,3387
BERRONES,2667
BETANCOURT,8845
BETUN,1336
BLACIO,3202
BLANCO,1646
BOADA,2603
BOBADILLA,1023
BODERO,1268
BOHORQUEZ,12938
BOLAÑOS,12357
BOMBON,2792
BONE,18680
BONIFAZ,2287
BONILLA,29873
BONOSO,1047
BORBOR,14849
BORJA,22531
BORRERO,1782
BOSQUEZ,3092
BOWEN,2476
BOZA,1339
BOZADA,1423
BRAVO,95501
BRICEÑO,4154
BRIONES,44540
BRITO,15070
BRONCANO,1376
BUCHELI,2230
BUELE,2059
BUENAÑO,5783
BUENO,10254
BUESTAN,3027
BUITRON,3052
BURBANO,9890
BURGA,2949
BURGOS,34491
BURI,2915
BURNEO,1252
BUSTAMANTE,23333
BUSTE,2038
BUSTILLOS,2315
BUSTOS,7691
BUÑAY,7299
CAAMAÑO,1369
CABA,1118
CABALLERO,2581
CABANILLA,2717
CABASCANGO,9617
CABELLO,2528
CABEZA,4004
CABEZAS,21476
CABRERA,68146
CACAO,2850
CACERES,9964
CACHAGO,1733
CACHIGUANGO,2267
CACHIMUEL,3248
CACHIPUENDO,1046
CACOANGO,1736
CACUANGO,6833
CADENA,20202
CAGUA,14872
CAGUANA,8249
CAGUANO,1010
CAHUASQUI,1287
CAICEDO,41335
CAICHE,1975
CAILLAGUA,1745
CAISA,3148
CAISAGUANO,4425
CAIZA,34873
CAIZAGUANO,2862
CAIZALUISA,1195
CAJAMARCA,14206
CAJAPE,2082
CAJAS,9193
CAJILEMA,3709
CAJILIMA,1012
CAJO,1391
CALAHORRANO,1433
CALAPAQUI,1405
CALAPIÑA,1914
CALAPUCHA,5049
CALDAS,1287
CALDERON,50608
CALERO,11246
CALI,4813
CALLE,29893
CALO,2140
CALPA,1037
CALUGUILLIN,1317
CALUÑA,2004
CALVA,11510
CALVACHE,3533
CALVACHI,1336
CALVOPIÑA,3452
CAMACHO,22004
CAMAS,2757
CAMBA,2130
CAMBISACA,1160
CAMBO,1741
CAMINO,2872
CAMPAÑA,7109
CAMPO,3668
CAMPOS,13354
CAMPOVERDE,31729
CAMPOZANO,2371
CAMPUES,1746
CAMPUZANO,9888
CAMUENDO,2005
CANALES,2899
CANCHINGRE,2700
CANDELARIO,4607
CANDELEJO,1024
CANDO,21696
CANELOS,1515
CANGA,1732
CANGO,4484
CANO,6587
CANTINCUZ,1835
CANTOS,14834
CANTUÑA,1336
CAPA,3535
CAPELO,1278
CAPITO,1023
CAPUZ,1435
CARABAJO,2308
CARABALI,1912
CARAGUAY,2312
CARANGUI,1473
CARANQUI,3311
CARBO,6893
CARCELEN,2811
CARCHI,7236
CARCHIPULLA,3050
CARDENAS,41334
CARDONA,1692
CARDOZO,1075
CARGUA,2903
CARGUACHI,1012
CARLOSAMA,5097
CARMONA,1528
CARPIO,19962
CARRANZA,15979
CARRASCO,16752
CARRERA,23384
CARREÑO,12464
CARRIEL,9850
CARRILLO,25764
CARRION,24840
CARTAGENA,2413
CARTUCHE,2341
CARVAJAL,20477
CASA,7136
CASANOVA,4355
CASCO,2980
CASIERRA,2709
CASILLAS,1469
CASQUETE,3754
CASTAÑEDA,12093
CASTAÑO,1104
CASTELLANO,2484
CASTELLANOS,2506
CASTELO,2118
CASTILLO,92582
CASTRO,123885
CATAGUA,3893
CATAGÑA,2601
CATOTA,5397
CATUCUAGO,1119
CATUCUAMBA,1818
CATUTO,3341
CAYAMBE,5378
CAYANCELA,1185
CAYO,2216
CAZA,2160
CAZAR,2011
CAÑAR,7070
CAÑARTE,2910
CAÑIZARES,3431
CAÑOLA,1597
CEBALLOS,2403
CEDEÑO,149812
CEDILLO,8438
CELA,2541
CELI,10267
CELLERI,1477
CELORIO,2390
CEME,1209
CENTENO,7790
CEPEDA,17456
CERCADO,5739
CERDA,9633
CEREZO,5875
CERNA,1309
CERON,4571
CERVANTES,6402
CEVALLOS,78799
CHABLA,2216
CHACA,1113
CHACAGUASAY,1855
CHACHA,11243
CHACHALO,1255
CHACHO,1367
CHACON,11796
CHAFLA,5494
CHAGLLA,1153
CHAGUAY,2392
CHALA,4286
CHALACAN,1909
CHALAN,4240
CHALCO,3992
CHALEN,6766
CHALUISA,3027
CHAMAIDAN,1370
CHAMBA,20073
CHAMORRO,11415
CHANALUISA,1596
CHANATASIG,1367
CHANCAY,7797
CHANCUSIG,2632
CHANDI,1353
CHANG,3413
CHANGO,16605
CHANGOLUISA,5610
CHAPA,1346
CHAPI,1637
CHAQUINGA,1281
CHARCO,2314
CHARCOPA,3313
CHARIGUAMAN,1581
CHASI,6135
CHASILUISA,1117
CHASING,1030
CHASIPANTA,3214
CHATO,1190
CHAUCA,4384
CHAVARRIA,6723
CHAVES,1029
CHAVEZ,76348
CHECA,2492
CHELA,3348
CHELE,4129
CHEME,5729
CHEN,2159
CHENCHE,2024
CHERE,1975
CHERRES,1102
CHERREZ,3463
CHEVEZ,4692
CHICA,17277
CHICAIZA,47093
CHICHANDA,2684
CHICHANDE,5962
CHICO,2766
CHIGUANO,5890
CHILA,15376
CHILAN,8811
CHILENO,1415
CHILIQUINGA,6486
CHILLAGANA,2525
CHILLOGALLI,3659
CHILLOGALLO,1217
CHILUISA,7657
CHILUIZA,3246
CHIMARRO,1612
CHIMBA,1009
CHIMBO,19396
CHIMBOLEMA,5432
CHIMBORAZO,9345
CHINGA,2739
CHIPANTIZA,2448
CHIPRE,1887
CHIQUITO,7936
CHIRIAP,2662
CHIRIAPA,1258
CHIRIBOGA,9985
CHIRIGUAYA,4504
CHIRIGUAYO,1277
CHISAG,3013
CHISAGUANO,3774
CHITO,1067
CHIZA,1119
CHOCHO,2008
CHOEZ,29092
CHOLANGO,1426
CHOLOQUINGA,1855
CHOMPOL,1041
CHONG,1175
CHONGO,1518
CHONILLO,3635
CHOTO,1725
CHUCHUCA,3948
CHUCURI,1024
CHUEZ,1898
CHUGA,2219
CHUGCHILAN,4216
CHUINT,1193
CHULCA,1385
CHULCO,1063
CHULDE,2782
CHUMA,1047
CHUMAP,1031
CHUMBI,1308
CHUMO,1577
CHUMPI,2141
CHUNCHO,1610
CHUNGA,1179
CHUQUI,5795
CHUQUIANA,1010
CHUQUIMARCA,6476
CHUQUIN,2364
CHUQUIRIMA,1101
CHUQUITARCO,2808
CHUSIN,4180
CHUTO,1353
CHUYA,1556
CIFUENTES,4381
CIMARRON,1180
CIRINO,2137
CISNEROS,11908
CLAUDIO,1280
CLAVIJO,5830
CLEMENTE,2066
COBA,3292
COBEÑA,11790
COBO,3625
COBOS,8828
COCHA,3881
COCHANCELA,1407
COELLO,26120
COFRE,2703
COLCHA,5618
COLES,1254
COLIMBA,1859
COLLAGUAZO,13001
COLLAHUAZO,1316
COLLANTES,1512
COLOBON,1434
COLOMA,6273
COLORADO,1138
COLUMBA,1078
CONCHA,2199
CONDE,3605
CONDO,5576
CONDOLO,1089
CONDOR,7845
CONDOY,3037
CONEJO,1342
CONFORME,10201
CONGACHA,1710
CONGO,2786
CONLAGO,1573
CONSTANTE,6492
CONSUEGRA,1046
CONTENTO,2796
CONTERON,1216
CONTRERAS,26230
CONZA,2014
COOX,1267
COQUE,4280
COQUINCHE,2738
CORAIZACA,1049
CORAL,4612
CORDERO,11940
CORDOVA,44456
CORELLA,1178
CORNEJO,12345
CORO,4778
CORONADO,2721
CORONEL,24174
COROZO,6864
CORRAL,2189
CORRALES,3175
CORREA,26367
CORTE,1843
CORTES,4008
CORTEZ,29036
COSTA,1489
COSTALES,1028
COTACACHI,2077
COTERA,1458
COVEÑA,2830
COX,2327
COYAGO,4442
CRESPIN,5922
CRESPO,13309
CRIOLLO,26889
CRUZ,66309
CUADRADO,2182
CUADROS,2255
CUALCHI,1066
CUARAN,1773
CUASAPAZ,1662
CUASCOTA,3902
CUASPUD,1708
CUASQUER,2151
CUCALON,1038
CUCHIPARTE,2119
CUCHIPE,1514
CUELLAR,1407
CUENCA,25697
CUERO,7210
CUESTA,4820
CUEVA,22326
CUICHAN,4419
CUJI,8203
CUJILAN,1865
CUJILEMA,3560
CULCAY,1245
CULQUI,2262
CUMBA,1169
CUMBAJIN,1378
CUMBAL,3412
CUMBE,2072
CUMBICOS,2281
CUMBICUS,3006
CUNALATA,6154
CUNDURI,1060
CUNUHAY,1778
CURAY,2149
CURICAMA,1006
CURICHO,1213
CURILLO,2443
CURIPOMA,1590
CUSME,12260
CUVI,2795
CUYO,3034
CUZCO,7182
CUZME,2540
CUÑAS,1277
DAHUA,2120
DAMIAN,1214
DAQUILEMA,8395
DAVALOS,3025
DAVILA,15715
DAZA,2747
DE LA A,3157
DE LA CRUZ,28153
DE LA O,1043
DE LA ROSA,4395
DE LA TORRE,8580
DEFAZ,3077
DEL PEZO,6639
DEL POZO,1454
DEL ROSARIO,2411
DEL SALTO,1066
DEL VALLE,2328
DELEG,3880
DELGADO,101324
DEMERA,6869
DESIDERIO,1518
DIAS,3655
DIAZ,71568
DICAO,1060
DOMINGUEZ,28451
DOMO,1083
DONOSO,5047
DROUET,1167
DUARTE,8053
DUCHE,1447
DUCHI,4053
DUCHITANGA,1580
DUEÑAS,7277
DUMES,2320
DUQUE,7349
DURAN,11450
DURAZNO,1353
DUTAN,4688
ECHEVERRIA,12306
EGAS,4659
EGUEZ,1260
ELIZALDE,8455
ELIZONDO,1390
ENCALADA,14099
ENCARNACION,4768
ENDARA,5253
ENGRACIA,1041
ENRIQUEZ,20894
ERAS,5890
ERAZO,24644
ERIQUE,1241
ERRAEZ,2065
ERREYES,1857
ESCALANTE,6894
ESCANDON,1929
ESCOBAR,30607
ESCOLA,1166
ESCUDERO,3413
ESMERALDA,1793
ESMERALDAS,5374
ESPARZA,3871
ESPAÑA,9059
ESPEJO,1350
ESPIN,14912
ESPINAL,3458
ESPINALES,4365
ESPINEL,3143
ESPINOSA,21087
ESPINOZA,101324
ESQUIVEL,1131
ESTACIO,5242
ESTEVEZ,3412
ESTRADA,16482
ESTRELLA,11176
ESTUPIÑAN,9122
EUGENIO,2223
EVAS,1073
FABARA,1380
FAICAN,1912
FAJARDO,25414
FALCON,2636
FALCONES,7603
FALCONI,4724
FARES,1075
FAREZ,5513
FARFAN,6317
FARIAS,14963
FARINANGO,16324
FARIÑO,2297
FEIJOO,5655
FELIX,1889
FERNANDEZ,45960
FERRIN,3770
FERRUZOLA,1213
FIALLOS,6518
FIERRO,5538
FIGUEROA,39283
FLOR,3502
FLOREANO,1399
FLORES,103058
FOLLECO,1535
FONSECA,6148
FRANCO,45685
FREIRE,29979
FRIAS,2157
FUEL,1599
FUENTES,18317
FUERES,1495
FUEREZ,1283
FUERTES,2595
GADVAY,1009
GAIBOR,12946
GALAN,2406
GALARRAGA,2892
GALARZA,30423
GALEAS,4758
GALINDO,2299
GALLARDO,11312
GALLEGOS,13874
GALLO,5737
GALVEZ,4885
GAMARRA,3462
GAMBOA,8316
GAME,1134
GAMEZ,2609
GANAN,1961
GANCHOZO,8733
GANCINO,1987
GAONA,9324
GARAICOA,1254
GARAY,2158
GARCES,18407
GARCIA,192686
GARNICA,1201
GAROFALO,4365
GARRIDO,4943
GARZON,15634
GASPAR,2328
GAVIDIA,1486
GAVILANES,17125
GAVILANEZ,11789
GAVIN,1015
GERMAN,2132
GIA,1041
GIL,2971
GILCES,3689
GILER,13580
GIRALDO,2441
GIRON,3999
GODOY,8872
GOMEZ,86868
GONGORA,3749
GONZA,1543
GONZABAY,9758
GONZAGA,4950
GONZALES,8318
GONZALEZ,130809
GORDILLO,10747
GORDON,5139
GOROTIZA,2252
GOROZABEL,2783
GOVEA,1088
GOYA,3486
GOYES,3835
GRACIA,4917
GRANADOS,2123
GRANDA,24210
GRANIZO,4682
GRANJA,4980
GRANOBLE,1185
GREFA,31400
GRIJALVA,4257
GRUEZO,2147
GUACHAMIN,6750
GUACHI,1468
GUACHICHULLCA,1354
GUACHO,5235
GUACHUN,1077
GUADALUPE,3307
GUADAMUD,4735
GUAGUA,3916
GUAICHA,1797
GUAILLA,1671
GUAILLAS,3678
GUAITA,1534
GUAJALA,1474
GUAJAN,2690
GUALA,1707
GUALACATA,1487
GUALAN,10571
GUALAVISI,1877
GUALE,6436
GUALINGA,3041
GUALLI,3573
GUALLICHICO,3182
GUALLPA,6299
GUALOTO,5099
GUALOTUÑA,6098
GUALPA,5540
GUALSAQUI,1871
GUAMAN,101469
GUAMANGATE,2371
GUAMANI,2274
GUAMBAÑA,1254
GUAMBO,2765
GUAMBUGUETE,1448
GUAMINGA,1392
GUANANGA,3077
GUANDINANGO,1258
GUANGA,3896
GUANGASI,1039
GUANIN,1441
GUANO,4922
GUANOCHANGA,1407
GUANOLUISA,8654
GUANOPATIN,1248
GUANOQUIZA,4702
GUANOTASIG,1902
GUANOTUÑA,2765
GUANUCHE,1064
GUANUCHI,1411
GUAPI,3609
GUAPISACA,1119
GUAPULEMA,1238
GUARACA,7387
GUARANDA,9448
GUARANGA,1876
GUARANGO,1221
GUARDERAS,1235
GUARNIZO,2698
GUARTAN,1224
GUASCO,1199
GUASGUA,1114
GUASHPA,3044
GUATEMAL,1713
GUATO,2892
GUAYANAY,1678
GUAYASAMIN,2120
GUAYLLAS,1030
GUAÑA,2960
GUAÑO,1405
GUAÑUNA,2201
GUDIÑO,2992
GUERRA,20028
GUERRERO,76036
GUERRON,4050
GUEVARA,30994
GUIJARRO,2035
GUILCAPI,2082
GUILLEN,10548
GUILLERMO,1098
GUILLIN,1593
GUINGLA,1008
GUIRACOCHA,2434
GUITARRA,1053
GUNCAY,2075
GURUMENDI,2598
GUSQUI,1722
GUTAMA,3700
GUTIERREZ,32947
GUZHÑAY,1369
GUZMAN,30665
GUZÑAY,1782
HARO,18164
HAZ,1296
HENRIQUEZ,1990
HERAS,6624
HERDOIZA,1215
HEREDERO,1094
HEREDIA,13376
HERMIDA,1394
HERMOSA,1065
HERNANDEZ,45597
HERRERA,80252
HERRERIA,1013
HIDALGO,42719
HIDROVO,1694
HINOJOSA,5627
HINOSTROZA,1111
HIPO,1467
HOLGUIN,30048
HONORES,1448
HOYOS,2166
HUACON,5229
HUANCA,1544
HUANG,1022
HUARACA,1576
HUATATOCA,6107
HUAYAMAVE,1937
HUERA,2268
HUERTA,3467
HUERTAS,2191
HUILCA,2235
HUIRACOCHA,1044
HURTADO,24071
IBADANGO,1334
IBARRA,20777
IBAÑEZ,2020
IBUJES,1424
ICAZA,3709
IDROVO,7454
IGLESIAS,2662
ILAQUICHE,1794
ILBAY,1875
ILES,1136
ILLANES,1998
ILLAPA,1379
ILLESCAS,6989
IMBA,1502
IMBAQUINGO,9505
INCA,2214
INDACOCHEA,2074
INDIO,3100
INFANTE,4019
INGA,7856
INLAGO,1641
INSUASTI,1149
INTRIAGO,43263
IPIALES,4989
IRUA,1119
ITURRALDE,3754
IZA,19094
IZQUIERDO,6763
IZURIETA,4767
IÑAMAGUA,1259
IÑIGUEZ,6260
JACHO,2963
JACOME,26048
JADAN,3802
JAEN,2883
JAIME,6803
JALCA,1502
JAMA,13342
JAMI,5425
JANETA,1261
JAPA,1470
JAPON,3708
JARA,23450
JARAMA,1936
JARAMILLO,54999
JARRIN,7937
JARRO,1416
JATIVA,3724
JAYA,6272
JEREZ,4868
JIJON,2363
JIMA,2229
JIMBO,4217
JIMENEZ,109894
JIMPIKIT,2629
JIPA,2208
JIRON,1482
JORDAN,7834
JOSE,1372
JUANAZO,1171
JUANK,1927
JUCA,2349
JUELA,3434
JUMA,1644
JUMBO,14180
JUNCO,2177
JURADO,12835
JUWA,1462
KAJEKAI,1253
KATAN,1060
KAYAP,1451
KLINGER,1292
LAAZ,2016
LABANDA,2680
LADINES,2112
LAGLA,2038
LAGOS,1623
LAGUA,2427
LAICA,1008
LAINES,1647
LAINEZ,8832
LAJE,3747
LALA,2107
LALALEO,1205
LALAMA,1134
LALANGUI,4103
LALVAY,3359
LAMAR,1032
LAMILLA,3242
LANCHE,1162
LANCHIMBA,5378
LANDA,2336
LANDAZURI,5947
LANDETA,2385
LANDI,3250
LANDIN,1383
LANDIVAR,2150
LAPO,5246
LARA,34115
LARCO,2035
LARGO,3256
LARREA,5812
LARROSA,1310
LASCANO,8138
LASLUISA,2641
LASSO,5069
LASTRA,3402
LATA,2691
LAVAYEN,4851
LAZ,4741
LAZARO,1370
LAZO,7760
LEAL,2018
LECARO,1086
LECHON,3471
LEDESMA,4891
LEITON,1472
LEIVA,2821
LEMA,45808
LEMACHE,1513
LEMOS,1495
LEON,95574
LEONES,4572
LESCANO,2813
LEYTON,1348
LI,1381
LIBERIO,1485
LICOA,1325
LICUY,4888
LIMA,8511
LIMAICO,1914
LIMONES,5135
LIN,1055
LINARES,1121
LINCANGO,3172
LINDAO,10969
LINO,14141
LIRIO,1498
LISINTUÑA,2365
LITA,1914
LITARDO,7326
LITUMA,4621
LIU,1174
LIZANO,1433
LLAGUNO,1238
LLAMBO,1242
LLAMUCA,3727
LLANGA,1033
LLANGARI,2226
LLANO,2905
LLANOS,5447
LLERENA,10058
LLIGUICOTA,1555
LLIGUIN,2156
LLIQUIN,1114
LLIVICURA,1729
