Apellidos,Total
LLIVISACA,1727
LLONGO,1019
LLUILEMA,1355
LLULLUNA,1704
LLUMIQUINGA,8038
LLUMITASIG,1885
LLUMITAXI,2172
LOACHAMIN,5312
LOAIZA,7455
LOAYZA,5078
LOGACHO,1601
LOGRO,1584
LOGROÑO,2347
LOJA,21306
LOJAN,1982
LOJANO,6029
LOMAS,2902
LOMBEIDA,2588
LONDOÑO,1078
LOOR,93871
LOPEZ,170052
LOVATO,1505
LOY,1018
LOYA,1339
LOYOLA,2348
LOZA,5631
LOZADA,7894
LOZANO,20884
LUCAS,30159
LUCERO,13683
LUCIN,2105
LUCIO,5563
LUDEÑA,3747
LUGMAÑA,1666
LUGO,2769
LUMBI,1442
LUNA,22051
LUQUE,2320
LUTUALA,1870
LUZARDO,1677
LUZON,1500
LUZURIAGA,5678
MACANCELA,2048
MACAS,21590
MACAY,3461
MACHADO,3943
MACHOA,2213
MACHUCA,3914
MACIAS,115302
MADRID,3413
MAFLA,2571
MAGALLAN,3029
MAGALLANES,7161
MAIGUA,4567
MAILA,2522
MAINATO,1167
MAISANCHE,1057
MAISINCHO,1316
MAITA,1961
MAJI,1834
MALA,2184
MALAGON,1148
MALAN,4014
MALAVE,7327
MALDONADO,46166
MALES,6756
MALIZA,2348
MALLA,7572
MALO,1593
MAMALLACTA,5085
MANCERO,2687
MANCHENO,3606
MANCILLA,2273
MANJARRES,1157
MANOBANDA,10027
MANOSALVAS,3769
MANOTOA,1888
MANRIQUE,3486
MANTILLA,7713
MANTUANO,8009
MANYA,1603
MANZABA,12130
MANZANO,5975
MANZO,2069
MAQUILON,2531
MARCA,3008
MARCALLA,2123
MARCATOMA,3481
MARCHAN,1014
MARCIAL,1219
MARCILLO,21893
MARIDUEÑA,4414
MARIN,16594
MARISCAL,3556
MARIÑO,4584
MARMOL,1715
MARMOLEJO,1533
MARQUEZ,26243
MARQUINEZ,2012
MARTILLO,7939
MARTINEZ,84998
MARURI,2189
MASABANDA,6815
MASACHE,3435
MASAPANTA,2651
MASAQUIZA,5771
MASHIANT,1206
MASHU,1181
MATA,3353
MATAILO,2472
MATAMOROS,6773
MATANGO,1655
MATEO,2593
MATIAS,2323
MATUTE,9497
MAYA,2721
MAYANCELA,3769
MAYANCHA,1335
MAYORGA,12681
MAZA,14087
MAZABANDA,1482
MAZAMBA,1620
MAZON,2026
MAZZINI,1916
MAÑAY,1445
MECIAS,2495
MEDIAVILLA,1985
MEDINA,62233
MEDRANDA,9213
MEDRANO,2728
MEJIA,48958
MEJILLON,1741
MEJILLONES,1539
MELENDEZ,2123
MELENDRES,1670
MELGAR,1241
MELO,4471
MENA,15742
MENDEZ,41432
MENDIETA,12596
MENDOZA,120115
MENENDEZ,12452
MENESES,7733
MENOSCAL,4239
MERA,52343
MERCADO,2548
MERCHAN,29169
MEREJILDO,2028
MERELO,3435
MERINO,12167
MERIZALDE,4230
MERO,44744
MESA,2029
MESIAS,3556
MESTANZA,2515
MEZA,22735
MICHILENA,1241
MICOLTA,2188
MIELES,9165
MIGUEZ,1147
MILAN,1687
MILLAN,1304
MILLINGALLI,1578
MINA,16319
MINAYA,2774
MINCHALA,3579
MINDA,5364
MINDIOLA,2654
MINDIOLAZA,1760
MINGA,3350
MINTA,1559
MIRABA,3287
MIRANDA,35522
MITE,11392
MIZHQUIRI,1025
MIÑO,6198
MOCHA,3317
MOGOLLON,1433
MOGRO,1075
MOGROVEJO,3592
MOINA,1341
MOLINA,62141
MOLINEROS,1001
MONAR,5951
MONCADA,8539
MONCAYO,14475
MONGE,3191
MONROY,1983
MONRROY,1321
MONSERRATE,8512
MONTA,1279
MONTACHANA,1147
MONTAGUANO,1154
MONTALEZA,1019
MONTALUISA,1407
MONTALVAN,9347
MONTALVO,9559
MONTAÑO,15198
MONTECE,3142
MONTENEGRO,18072
MONTERO,16630
MONTEROS,1746
MONTES,10107
MONTESDEOCA,10304
MONTIEL,5841
MONTOYA,17844
MONTUFAR,1962
MOPOSITA,7923
MORA,76844
MORALES,93945
MORAN,69513
MORANTE,5864
MOREANO,2224
MOREIRA,91081
MOREJON,6147
MORENO,54971
MORETA,13179
MORILLO,7246
MORLA,1154
MOROCHO,63136
MORQUECHO,1861
MORRILLO,1385
MOSCOSO,7827
MOSQUERA,34110
MOTA,2222
MOTOCHE,1299
MOYA,11209
MOYANO,5955
MOYOLEMA,2165
MOYON,2026
MUELA,1772
MUENALA,3292
MUENTES,4535
MUESES,1381
MUGMAL,1027
MUJICA,1561
MULLO,6019
MURILLO,46046
MURRIETA,1451
MUSO,1878
MUYOLEMA,1044
MUYULEMA,2284
MUZO,2419
MUÑIZ,7863
MUÑOZ,99923
NACIMBA,1807
NACIPUCHA,1002
NAGUA,2586
NAJERA,1881
NANTIP,1085
NAPA,10172
NARANJO,39116
NAREA,1530
NARVAEZ,38349
NASIMBA,1784
NASTACUAS,1337
NASTACUAZ,1448
NAULA,17018
NAVARRETE,31755
NAVARRO,9830
NAVAS,9785
NAVIA,2777
NAZARENO,12164
NAZATE,1877
NEGRETE,3612
NEIRA,8804
NEVAREZ,3304
NICOLA,1182
NICOLALDE,2994
NIETO,12655
NIEVES,5753
NINABANDA,1225
NINASUNTA,1756
NIOLA,1289
NIVELA,1993
NIVELO,2754
NIVICELA,1365
NOA,1436
NOBLECILLA,1304
NOBOA,9831
NOGALES,2055
NOGUERA,1916
NOLE,1757
NOLIVOS,1176
NORIEGA,3177
NOROÑA,1947
NOTENO,1980
NOVILLO,3020
NOVOA,2166
NUGRA,1842
NUÑEZ,30584
OBACO,1357
OBANDO,15923
OBREGON,2921
OCAMPO,5893
OCAÑA,5528
OCHOA,38708
OJEDA,12302
OLALLA,2499
OLAYA,5123
OLEAS,3293
OLIVARES,1824
OLIVES,2037
OLIVO,7492
OLMEDO,11724
OLVERA,10045
ONCE,1957
ONOFRE,4406
ONTANEDA,3350
OQUENDO,1459
ORBE,3263
ORDOÑEZ,49723
OREJUELA,2370
ORELLANA,29737
ORMAZA,5910
OROBIO,1431
OROSCO,2157
OROZCO,13247
ORQUERA,1012
ORRALA,12376
ORTEGA,58036
ORTIZ,91630
OSORIO,7302
OSPINA,1136
OSTAIZA,4118
OTAVALO,3698
OTERO,2360
OTO,1207
OVIEDO,7098
OYAGATA,1682
OYOLA,1858
OÑA,14932
OÑATE,6705
PABON,3457
PACA,5148
PACCHA,2669
PACHA,1824
PACHACAMA,5228
PACHAR,1396
PACHAY,4579
PACHECO,38944
PACHITO,1260
PACHO,1533
PADILLA,26508
PAEZ,9637
PAGUAY,12666
PAILLACHO,3285
PALA,1423
PALACIO,1909
PALACIOS,41572
PALADINES,9843
PALAGUACHI,2962
PALATE,2499
PALLASCO,1564
PALLO,8259
PALMA,36716
PALOMEQUE,3210
PALOMINO,3455
PALOMO,2650
PALTA,1570
PALTAN,2764
PANAMA,4145
PANATA,1137
PANCHANA,9348
PANCHI,4224
PANDO,1245
PANEZO,2826
PANIMBOZA,1442
PANTA,3520
PANTALEON,1003
PANTOJA,5963
PAPA,1780
PAQUI,1736
PARCO,2994
PARDO,8573
PAREDES,59684
PAREJA,2603
PARRA,24054
PARRAGA,30540
PARRALES,28120
PARREÑO,2871
PASCAL,1636
PASPUEL,3188
PASQUEL,2426
PASTO,1581
PASTOR,1448
PASTUÑA,4608
PATA,1185
PATIN,3069
PATIÑO,16742
PAUCAR,21516
PAUCHI,1249
PAUTA,4584
PAUTE,2387
PAVON,3509
PAY,1476
PAZ,10882
PAZMIÑO,30180
PAZOS,1802
PAÑI,1001
PELAEZ,4734
PERALTA,33575
PERALVO,1726
PERDOMO,2677
PEREA,5244
PEREIRA,6273
PERERO,3888
PEREZ,98574
PERLAZA,3094
PERUGACHI,10085
PESANTES,5251
PESANTEZ,12694
PEZO,2203
PEÑA,31343
PEÑAFIEL,38379
PEÑAHERRERA,6491
PEÑALOZA,5428
PEÑARANDA,2789
PEÑARRIETA,5529
PIANCHICHE,1402
PIARPUEZAN,1057
PIBAQUE,2791
PICHUCHO,1651
PICO,17576
PICON,1330
PICUASI,2014
PIEDRA,8775
PIEDRAHITA,1040
PIGUAVE,9683
PIHUAVE,2055
PILA,5140
PILAGUANO,2636
PILALUMBO,1376
PILAMUNGA,7340
PILAPANTA,1263
PILATASIG,7090
PILATAXI,7742
PILATUÑA,2365
PILAY,9245
PILCA,1309
PILCO,15069
PILICITA,1376
PILLA,2191
PILLACELA,1476
PILLAJO,12549
PILLASAGUA,3701
PILLCO,2289
PILLIGUA,6068
PILLIZA,1578
PILOSO,3949
PILOZO,6228
PIN,15451
PINANGO,1126
PINARGOTE,21937
PINCAY,38540
PINCHAO,2085
PINDO,2026
PINDUISACA,2559
PINEDA,18497
PINELA,5198
PINGUIL,1184
PINO,5556
PINOARGOTE,1743
PINOS,6674
PINTA,4259
PINTADO,7318
PINTAG,1741
PINTO,14532
PINZA,1701
PINZON,3564
PIONCE,1986
PISCO,5982
PITA,8476
PITIUR,1187
PIVAQUE,1301
PIZA,5858
PIZARRO,6538
PIÑA,4780
PLACENCIA,1970
PLACENCIO,1309
PLASENCIA,2379
PLAZA,14797
PLUA,9770
PLUAS,19039
POAQUIZA,5604
POGO,2305
POLANCO,2181
POLIT,1027
POLO,2540
POMA,6752
POMAQUIZA,2494
POMAVILLA,1454
PONCE,49694
PONGUILLO,2290
PONTON,1713
POROZO,1913
PORRAS,4141
PORTERO,1467
PORTILLA,10458
PORTILLO,1380
PORTOCARRERO,2275
POSLIGUA,9783
POSSO,1167
POTES,1395
POTOSI,2899
POVEDA,8654
POZO,31340
PRADO,12031
PRECIADO,9329
PRIETO,4285
PROAÑO,23234
PROCEL,3088
PRUDENTE,1437
PRUNA,1311
PUCHA,5047
PUCHAICELA,2782
PUCUNA,1384
PUENTE,4960
PUERTAS,1169
PUETATE,3064
PUGA,3034
PUGLLA,2353
PUGO,1788
PUJOS,1371
PUJOTA,2387
PULAMARIN,1065
PULGARIN,1134
PULLA,4835
PULLAGUARI,1603
PULLAS,1728
PULLAY,1293
PULLOTASIG,1199
PULLUPAXI,1533
PULUPA,1616
PUMA,6937
PUNINA,8840
PUPIALES,4353
PURUNCAJAS,1293
PUWAINCHIR,1306
QUELAL,3015
QUEVEDO,7839
QUEZADA,25830
QUICHIMBO,5101
QUIGUANGO,1546
QUIJANO,1449
QUIJIJE,22170
QUIJOSACA,1259
QUILCA,3531
QUILLE,2035
QUILLIGANA,2837
QUILLUPANGUI,2091
QUILO,1251
QUILUMBA,6195
QUILUMBANGO,1021
QUILUMBAQUIN,2221
QUIMBIAMBA,1376
QUIMBITA,2594
QUIMBIULCO,1979
QUIMI,11771
QUIMIS,13905
QUIMIZ,3077
QUINALOA,1698
QUINALUISA,1143
QUINAPANTA,1155
QUINATOA,13353
QUINAUCHO,1273
QUINCHE,3837
QUINCHIGUANGO,2697
QUINDE,16743
QUINGA,5096
QUINTANA,9160
QUINTANILLA,2712
QUINTERO,17033
QUINTEROS,5144
QUINTO,12431
QUINTUÑA,3957
QUIROGA,3504
QUIROLA,1998
QUIROZ,27150
QUIRUMBAY,2532
QUISAGUANO,1370
QUISHPE,32184
QUISHPI,6952
QUISILEMA,1577
QUISPE,8754
QUITIO,1173
QUITO,14442
QUITUISACA,3850
QUITUIZACA,2249
QUIZHPE,6647
QUIZHPI,9380
QUIZHPILEMA,1034
QUIÑONES,1899
QUIÑONEZ,44720
RACINES,1118
RAMBAY,1621
RAMIREZ,96071
RAMON,17106
RAMOS,47727
RANGEL,1879
RAZA,1071
REA,11381
REAL,2686
REALPE,3363
REASCO,2761
REASCOS,2822
RECALDE,8655
REDROBAN,1104
REDROVAN,1969
REGALADO,3587
REINA,7738
REINO,2604
REINOSO,15418
REMACHE,13219
RENDON,9870
RENGEL,1317
RENGIFO,4750
RENTERIA,3719
REQUELME,1536
REQUENA,1368
RESABALA,1699
RESTREPO,1209
REVELO,9580
REY,1724
REYES,91828
REYNA,5713
REZABALA,3581
RIASCOS,1634
RIBADENEIRA,1309
RICARDO,1849
RICAURTE,2412
RIERA,8612
RIOFRIO,10473
RIOS,19594
RISCO,2122
RIVADENEIRA,17041
RIVAS,30563
RIVERA,67505
RIVERO,2016
RIZO,2959
RIZZO,5270
ROA,1188
ROBALINO,10390
ROBAYO,3853
ROBLES,19329
ROBLEZ,1088
ROCA,6037
ROCAFUERTE,3475
ROCANO,2557
ROCHA,5396
ROCHINA,2357
RODAS,8531
RODRIGUEZ,209176
ROGEL,6356
ROJAS,42405
ROLDAN,13174
ROMAN,16683
ROMERO,99157
ROMO,4700
RON,2743
RONQUILLO,18167
ROQUE,1351
ROSADO,22364
ROSALES,18142
ROSARIO,1721
ROSAS,3636
ROSERO,32278
ROSILLO,2999
RUA,1564
RUALES,5290
RUANO,4533
RUBIO,8691
RUEDA,8151
RUGEL,6354
RUILOVA,2407
RUIZ,71793
RUMIGUANO,1461
SAA,2703
SAANT,2419
SAAVEDRA,9883
SABANDO,12037
SACA,4647
SACON,5326
SACOTO,1850
SACTA,1160
SAENZ,4685
SAETEROS,2337
SAEZ,1599
SAGBAY,2108
SAGÑAY,3630
SAIGUA,1230
SAILEMA,4214
SALAMEA,1131
SALAS,13920
SALAVARRIA,5699
SALAZAR,91432
SALCEDO,7403
SALDARRIAGA,5454
SALDAÑA,5145
SALGADO,5536
SALGUERO,5138
SALINAS,23408
SALTO,1982
SALTOS,33082
SALVADOR,5043
SALVATIERRA,12371
SAMANIEGO,16148
SAMPEDRO,2455
SAMUEZA,1268
SAN LUCAS,2971
SAN MARTIN,1234
SANABRIA,1891
SANANGO,1745
SANCAN,4829
SANCHEZ,224011
SANCHIM,1438
SANCHO,1366
SANDOVAL,18972
SANDOYA,2835
SANGO,1216
SANGOQUIZA,1714
SANGUCHO,4768
SANGURIMA,2161
SANGUÑA,1696
SANI,1714
SANIPATIN,1255
SANMARTIN,9610
SANTACRUZ,7254
SANTAFE,1510
SANTAMARIA,6643
SANTANA,32822
SANTANDER,4618
SANTI,6825
SANTIANA,2117
SANTILLAN,19629
SANTIN,1281
SANTISTEVAN,2016
SANTO,1366
SANTOS,26532
SANUNGA,1059
SAQUICELA,1637
SAQUINGA,2719
SARABIA,2985
SARAGURO,3645
SARANGO,21566
SARANSIG,1253
SARCO,1419
SARI,1410
SARITAMA,2080
SARMIENTO,18273
SARZOSA,2194
SATAN,1494
SAYAY,2090
SECAIRA,1632
SEGARRA,5458
SEGOVIA,9779
SEGURA,14968
SELLAN,5169
SEME,1020
SEMINARIO,1638
SERNA,1066
SERRANO,15712
SESME,2141
SEVERINO,1020
SEVILLA,4897
SEVILLANO,4353
SHAGÑAY,1162
SHAKAI,1728
SHARUP,2215
SHIGUANGO,13326
SHIKI,1038
SHUGULI,1669
SIAVICHAY,1609
SIBRI,1316
SICHA,1375
SIERRA,4759
SIGCHA,6184
SIGCHO,2974
SIGUA,1398
SIGUENCIA,5466
SIGUENZA,4186
SILLO,1074
SILVA,47379
SILVESTRE,1746
SIMBA,4292
SIMBAÑA,26915
SIMISTERRA,2768
SINALUISA,1302
SINCHE,4008
SINCHI,5276
SINCHIGUANO,1813
SIQUIHUA,1668
SISA,6472
SISALEMA,2765
SISALIMA,3720
SISLEMA,1915
SIZA,1786
SOJOS,1210
SOLANO,16062
SOLARTE,1401
SOLEDISPA,11062
SOLIS,28796
SOLIZ,3184
SOLORZANO,53866
SOPA,1077
SOPALO,1129
SORIA,11061
SORIANO,10183
SORNOZA,9808
SOSA,11351
SOTO,16287
SOTOMAYOR,6537
SOZA,1087
SUAREZ,92019
SUASNAVAS,1454
SUBIA,1172
SUCONOTA,2016
SUCUZHAÑAY,1945
SUIN,1035
SULCA,1017
SUMBA,6923
SUNTASIG,2053
SUNTAXI,4375
SUPE,1579
SUQUI,2327
SUQUILANDA,3888
SUQUILLO,2603
TABANGO,2920
TABARES,1124
TACO,9193
TACURI,14571
TADAY,3671
TAGUA,1469
TAICUZ,1279
TAIMAL,1277
TAIPE,8643
TALLEDO,1434
TAMAMI,1046
TAMAY,4978
TAMAYO,12624
TAMBACO,1489
TANDALLA,1373
TANDAYAMO,1160
TANDAZO,7494
TANGUILA,10093
TAPIA,38095
TAPUY,12248
TAPUYO,1266
TARAPUES,1147
TARCO,2362
TARIRA,2810
TASIGUANO,1310
TAYUPANDA,1548
TAYUPANTA,1099
TEJADA,3457
TEJENA,3186
TELENCHANA,1448
TELLO,11833
TENE,7653
TENECELA,2832
TENECOTA,1592
TENELEMA,7169
TENEMAZA,4531
TENEMPAGUAY,1717
TENESACA,11452
TENEZACA,6130
TENORIO,12327
TEPAN,1086
TERAN,18320
TERCERO,1783
TERREROS,1092
TIBAN,3344
TIBANLOMBO,1292
TIERRA,2918
TIGASI,5302
TIGRE,6087
TIGRERO,8171
TIGSE,2995
TIGUA,5464
TILLAGUANGO,1062
TINGO,1260
TINOCO,4720
TIPAN,18428
TIPANGUANO,1263
TIPANLUISA,2892
TIPANTASIG,1279
TIPANTIZA,1780
TIPANTUÑA,3948
TIRADO,2897
TIRCIO,1002
TIRIRA,1259
TISALEMA,4133
TITE,1688
TITO,2878
TITUANA,1392
TITUAÑA,11333
TIWI,1802
TIXE,1940
TIXI,3717
TIXILEMA,1439
TOABANDA,1256
TOAINGA,1020
TOALA,18607
TOALOMBO,6418
TOALONGO,1033
TOAPANTA,41133
TOAQUIZA,17115
TOASA,2774
TOAZA,4026
TOBAR,10068
TOCAGON,2563
TOCTAGUANO,1749
TOCTE,1669
TOCTO,2224
TOLA,1222
TOLEDO,10309
TOMALA,40360
TONATO,6206
TOPON,1689
TORAL,3457
TORO,9214
TORRES,137658
TOSCANO,5063
TOTOY,1285
TOVAR,3504
TRAVEZ,3353
TREJO,4476
TRELLES,1378
TRIANA,4722
TRIVIÑO,11296
TRONCOSO,1863
TROYA,13977
TRUJILLO,12164
TSEREMP,1524
TUALOMBO,1677
TUAPANTA,1849
TUAREZ,11387
TUBAY,5733
TUBON,4080
TUFIÑO,3338
TUKUP,1196
TULCAN,2348
TUMBACO,15723
TUNAY,1479
TUPIZA,3902
TUQUERES,1892
TUQUERRES,5102
TUQUERREZ,1047
TUQUINGA,1391
TUSA,1151
TUTILLO,2494
TUTIVEN,4381
TUZA,1267
UBE,2105
UBILLA,2072
UBILLUS,1043
UCHUARI,2204
UGSHA,3952
ULCUANGO,4098
ULLAGUARI,1305
ULLAURI,2655
ULLOA,11672
ULLON,1195
UMAJINGA,1908
UNAUCHO,1655
UNDA,1889
UNKUCH,1470
UQUILLAS,1964
URBANO,1708
URBINA,2713
URETA,4356
UREÑA,2278
URGILES,8358
URGILEZ,1679
URIARTE,1244
URIBE,2088
URIÑA,2033
URQUIZO,2792
URRESTA,1331
URRUTIA,1483
URUCHIMA,1291
USCA,1288
USHCA,2124
USHIÑA,5035
USIÑA,1623
UTITIAJ,1069
UTRERAS,1735
UVIDIA,1820
UYAGUARI,4129
UZHCA,3137
UZHO,1485
VACA,31178
VACACELA,3721
VALAREZO,16674
VALDEZ,15837
VALDIVIESO,8659
VALDIVIEZO,10122
VALENCIA,57358
VALENZUELA,8865
VALERIANO,1857
VALERO,7019
VALIENTE,1387
VALLA,1114
VALLADARES,4775
VALLADOLID,1771
VALLE,12156
VALLEJO,23053
VALLEJOS,2047
VALLES,1021
VALVERDE,18384
VANEGAS,4529
VAQUE,1321
VARAS,3229
VARELA,6552
VARGAS,91263
VASCO,3035
VASCONEZ,11334
VASQUEZ,58565
VAZQUEZ,5603
VEAS,1977
VEGA,55294
VEINTIMILLA,7309
VELA,5549
VELARDE,1849
VELASCO,25921
VELASQUEZ,31996
VELASTEGUI,9424
VELE,1147
VELECELA,2187
VELEZ,81083
VELIZ,30687
VELOZ,13087
VENEGAS,3457
VENTURA,2477
VERA,184397
VERDESOTO,3486
VERDEZOTO,9279
VERDUGA,4307
VERDUGO,3396
VERGARA,21719
VERNAZA,3050
VICENTE,4053
VICTOR,1010
VICUÑA,3226
VIDAL,6223
VIEJO,1692
VIERA,2996
VILATUÑA,1626
VILAÑA,1486
VILCA,1123
VILELA,5226
VILEMA,2674
VILLA,19859
VILLACIS,25224
VILLACRES,11535
VILLACRESES,4786
VILLAFUERTE,12119
VILLAGOMEZ,6811
VILLAGRAN,2741
VILLALBA,6080
VILLALOBOS,1918
VILLALTA,6864
VILLALVA,7341
VILLAMAR,31607
VILLAMARIN,5970
VILLAMIL,1376
VILLANUEVA,2237
VILLAO,6463
VILLARES,1106
VILLARREAL,9761
VILLARROEL,4065
VILLARRUEL,1452
VILLAVICENCIO,18530
VILLEGAS,20413
VILLENA,2387
VILLIGUA,1483
VILLON,13274
VILLOTA,3386
VIMOS,2716
VINCES,13542
VINTIMILLA,4517
VINUEZA,15287
VIRACOCHA,3374
VIRACUCHA,1074
VISCAINO,1140
VISCARRA,1248
VISTIN,1172
VITE,10134
VITERI,15493
VIVANCO,9046
VIVAR,4724
VIVAS,6461
VIVERO,3302
VIVEROS,1630
VIZCAINO,3840
VIZHÑAY,1630
VIZUETA,2396
VIZUETE,4076
VIÑAMAGUA,1302
VIÑAN,2551
WACHAPA,2069
WAJARAI,1393
WAMPASH,1623
WAMPUTSRIK,1033
WANG,1136
WISUM,1997
WONG,2643
YACELGA,3041
YAGUACHI,3300
YAGUAL,23085
YAGUANA,5514
YAMBAY,2590
YAMBERLA,2384
YANCE,2086
YANCHA,1696
YANCHAGUANO,1318
YANCHALIQUIN,3949
YANCHAPANTA,1563
YANCHATIPAN,1546
YANDUN,2321
YANES,1178
YANEZ,24531
YANKUR,1681
YANQUI,1201
YANTALEMA,1395
YANZA,6309
YANZAPANTA,1227
YAR,1703
YASACA,1635
YASCARIBAY,1032
YASELGA,1287
YAUCAN,1556
YAURI,1326
YAUTIBUG,2425
YELA,2672
YEPEZ,26911
YOZA,2811
YUCAILLA,3386
YUGCHA,5169
YUGSI,3302
YULAN,1304
YUMBLA,1574
YUMBO,8347
YUMISACA,1383
YUNDA,1059
YUNGA,9733
YUNGAN,3828
YUPA,4617
YUPANGUI,3378
YUPANQUI,1080
YUQUI,1094
YUQUILEMA,6308
ZABALA,4100
ZALDUMBIDE,1166
ZAMBRANO,268282
ZAMORA,35748
ZAPATA,19036
ZARATE,2897
ZARUMA,3665
ZAVALA,11762
ZEA,2406
ZEAS,1744
ZEVALLOS,1570
ZHAGUI,2134
ZHAGÑAY,1073
ZHANG,1093
ZHICAY,2057
ZHIGUE,1135
ZHINGRE,2211
ZHINGRI,1145
ZHININ,2241
ZHIÑIN,1095
ZHUMI,1504
ZHUNAULA,1371
ZHUNIO,3151
ZORRILLA,1605
ZULETA,1265
ZUMBA,9221
ZURITA,17380
ZUÑA,1779
ZUÑIGA,22381
ÑACATO,1709
ÑAMIÑA,1056
